datetime,lat,lon,waveTp,waveHs,waveTm,waveMeanDirection
2024-10-08 09:00:00,41.916672,-69.75,13.109375,1.8046875,10.1953125,100.703125
2024-10-08 10:00:00,41.916672,-69.75,13.0546875,1.8125,10.140625,98.3359375
2024-10-08 11:00:00,41.916672,-69.75,12.984375,1.8125,10.0546875,96.1953125
2024-10-08 12:00:00,41.916672,-69.75,12.90625,1.8125,9.9140625,93.90625
2024-10-08 13:00:00,41.916672,-69.75,12.78125,1.8125,9.7578125,91.703125
2024-10-08 14:00:00,41.916672,-69.75,12.1328125,1.8046875,9.5703125,89.34375
2024-10-08 15:00:00,41.916672,-69.75,11.8828125,1.8046875,9.3828125,86.9453125
2024-10-08 16:00:00,41.916672,-69.75,11.8203125,1.8046875,9.2109375,84.75
2024-10-08 17:00:00,41.916672,-69.75,11.7890625,1.7890625,9.078125,82.9609375
2024-10-08 18:00:00,41.916672,-69.75,11.765625,1.765625,9.0390625,82.21875
2024-10-08 19:00:00,41.916672,-69.75,11.7421875,1.734375,9.078125,82.46875
2024-10-08 20:00:00,41.916672,-69.75,11.7265625,1.6953125,9.1640625,83.1015625
2024-10-08 21:00:00,41.916672,-69.75,11.6953125,1.65625,9.25,83.8515625
2024-10-08 22:00:00,41.916672,-69.75,11.6640625,1.6171875,9.34375,84.6484375
2024-10-08 23:00:00,41.916672,-69.75,11.6171875,1.578125,9.421875,85.4140625
2024-10-09 00:00:00,41.916672,-69.75,11.5546875,1.546875,9.4765625,86.0703125
2024-10-09 01:00:00,41.916672,-69.75,11.421875,1.515625,9.515625,86.640625
2024-10-09 02:00:00,41.916672,-69.75,11.3046875,1.484375,9.53125,87.140625
2024-10-09 03:00:00,41.916672,-69.75,11.2109375,1.453125,9.5390625,87.578125
2024-10-09 04:00:00,41.916672,-69.75,11.140625,1.421875,9.5390625,87.9375
2024-10-09 05:00:00,41.916672,-69.75,11.0859375,1.390625,9.53125,88.21875
2024-10-09 06:00:00,41.916672,-69.75,11.0390625,1.3515625,9.515625,88.40625
2024-10-09 07:00:00,41.916672,-69.75,11.0,1.3203125,9.4921875,88.53125
2024-10-09 08:00:00,41.916672,-69.75,10.9609375,1.2890625,9.4609375,88.609375
2024-10-09 09:00:00,41.916672,-69.75,10.9140625,1.2578125,9.4140625,88.6796875
2024-10-09 10:00:00,41.916672,-69.75,10.875,1.2265625,9.34375,88.765625
2024-10-09 11:00:00,41.916672,-69.75,10.828125,1.203125,9.2890625,88.9453125
2024-10-09 12:00:00,41.916672,-69.75,10.7734375,1.171875,9.234375,89.1953125
2024-10-09 13:00:00,41.916672,-69.75,10.71875,1.15625,9.1328125,89.5390625
2024-10-09 14:00:00,41.916672,-69.75,10.6484375,1.1328125,9.046875,89.921875
2024-10-09 15:00:00,41.916672,-69.75,10.5625,1.1015625,9.0859375,89.4765625
2024-10-09 16:00:00,41.916672,-69.75,10.4375,1.1171875,8.625,86.9765625
2024-10-09 17:00:00,41.916672,-69.75,10.3125,1.09375,8.578125,85.3984375
2024-10-09 18:00:00,41.916672,-69.75,10.2265625,1.0703125,8.65625,85.8125
2024-10-09 19:00:00,41.916672,-69.75,10.15625,1.046875,8.671875,86.5390625
2024-10-09 20:00:00,41.916672,-69.75,10.09375,1.03125,8.625,87.4296875
2024-10-09 21:00:00,41.916672,-69.75,10.046875,1.015625,8.5625,88.296875
2024-10-09 22:00:00,41.916672,-69.75,10.0,1.0,8.5,88.953125
2024-10-09 23:00:00,41.916672,-69.75,9.9609375,0.984375,8.4453125,89.4375
2024-10-10 00:00:00,41.916672,-69.75,9.90625,0.96875,8.3828125,89.734375
2024-10-10 01:00:00,41.916672,-69.75,9.8515625,0.96875,8.125,89.2265625
2024-10-10 02:00:00,41.916672,-69.75,9.7734375,0.984375,7.7265625,84.9453125
2024-10-10 03:00:00,41.916672,-69.75,9.671875,0.984375,7.4921875,80.4375
2024-10-10 04:00:00,41.916672,-69.75,9.546875,0.984375,7.359375,77.3046875
2024-10-10 05:00:00,41.916672,-69.75,9.40625,0.96875,7.328125,76.125
2024-10-10 06:00:00,41.916672,-69.75,9.3203125,0.953125,7.2578125,74.8359375
2024-10-10 07:00:00,41.916672,-69.75,9.2578125,0.96875,6.9765625,69.4140625
2024-10-10 08:00:00,41.916672,-69.75,9.2109375,1.0078125,6.5546875,57.9921875
2024-10-10 09:00:00,41.916672,-69.75,9.171875,1.03125,6.3203125,47.78125
2024-10-10 10:00:00,41.916672,-69.75,9.1328125,1.046875,6.140625,38.4609375
2024-10-10 11:00:00,41.916672,-69.75,9.09375,1.109375,5.8359375,23.890625
2024-10-10 12:00:00,41.916672,-69.75,9.0546875,1.203125,5.5234375,7.8671875
2024-10-10 13:00:00,41.916672,-69.75,4.5703125,1.3125,5.3671875,357.859375
2024-10-10 14:00:00,41.916672,-69.75,4.8203125,1.3828125,5.34375,353.390625
2024-10-10 15:00:00,41.916672,-69.75,5.0390625,1.4140625,5.359375,351.8125
2024-10-10 16:00:00,41.916672,-69.75,5.109375,1.4140625,5.3828125,352.3671875
2024-10-10 17:00:00,41.916672,-69.75,5.15625,1.3671875,5.4296875,355.1953125
2024-10-10 18:00:00,41.916672,-69.75,5.1640625,1.3046875,5.4765625,358.96875
2024-10-10 19:00:00,41.916672,-69.75,5.125,1.25,5.4765625,1.546875
2024-10-10 20:00:00,41.916672,-69.75,5.0546875,1.25,5.375,359.71875
